_id,product_pic1,product_pic2,product_vid,product_name,price,details,time,gender,SubService_id,updated_at,created_at
679399ba3ede1119a1010cd2,Product_pic_11737726393.png,Product_pic_21737726393.jpg,Product_Video_1740664444.mp4,Ac Service,299,"Our air conditioning service is designed to keep your home or office cool and comfortable throughout the year. We offer a comprehensive range of solutions, from routine maintenance to repairs and installations. Our experienced technicians thoroughly inspect, clean, and optimize your system to ensure it runs efficiently, reducing energy costs and extending its lifespan. Whether you're facing an issue with your AC or need a new system installed, we provide reliable, professional service to meet your needs. We pride ourselves on delivering high-quality work and ensuring that your air conditioning is functioning at its best when you need it most.",1,NoGender,678a04c5ef9e430a93089782,2025-02-27T13:54:04.257Z,2025-01-24T13:46:33.991Z
67a31f472638de55240b0692,Product_pic_11738743623.jpg,Product_pic_21738743623.png,Product_Video_1738743623.mp4,Ac Repair,399,"To provide an effective description of your AC repair needs, you should include the model and brand of your air conditioner, as well as a detailed description of the problem you’re facing. If the AC isn’t cooling properly, is making unusual noises, leaking water, or simply won’t turn on, these details will help the technician understand what they’re dealing with. Mentioning the age of the unit can also be useful, as older systems may have specific issues related to wear and tear. If the AC has been repaired previously, share this history, as it could help the technician identify recurring problems. Let them know where the unit is installed, whether it’s a central system, window unit, or split AC, and how accessible it is. If you’ve noticed any irregularities in energy consumption or settings, or if you’ve experienced temperature fluctuations in different parts of your space, be sure to mention this as well. Describing any strange smells, like burning or musty odors, or sounds such as rattling, buzzing, or hissing, can also be helpful in pinpointing the issue. Finally, if there are specific concerns you want addressed, make sure to mention them to ensure the technician focuses on what matters most to you.",1,NoGender,678a04c5ef9e430a93089782,2025-02-05T08:20:23.344Z,2025-02-05T08:20:23.344Z
67c06dfbdd8951a8ed0318f2,Product_pic_11740664315.jpg,Product_pic_21740664315.webp,Product_Video_1740664315.webm,Tv Installation,449,"A TV installation service involves unpacking the TV, inspecting it for any damage or defects, and ensuring it's securely mounted either on a wall or a stand. The service includes connecting the TV to a power source and any necessary audio-visual components like cable boxes, DVD players, or sound systems. Cable management is an essential part of the process, where the cables are organized and concealed for a neat setup. The TV is then set up and configured according to your preferences, which includes tuning channels, setting up Wi-Fi, and adjusting picture and sound settings. The service provider will give you a brief overview of the TV’s functions and features, explaining how to use the remote control and access various settings. Finally, they will clean up any packaging materials and ensure your space is left tidy. Some services may offer additional options, such as wall mounting, external speaker installation, and wire concealment for an extra fee.",1,NoGender,67c06974dd8951a8ed0318e2,2025-02-27T13:51:55.322Z,2025-02-27T13:51:55.322Z
67c06e4edd8951a8ed0318f3,Product_pic_11740664398.png,Product_pic_21740664398.png,Product_Video_1740664398.mp4,Microwave Repair,299,"A microwave repair service typically involves diagnosing and fixing issues with your microwave oven. The service provider will inspect the microwave to identify the problem, which could range from a faulty door latch, malfunctioning control panel, or issues with the heating element. Once the issue is identified, they will repair or replace the necessary parts to restore the microwave to proper working condition. The service may also include cleaning the microwave and ensuring it is safe to use. Some providers offer additional services such as routine maintenance and safety checks to prevent future issues. It's always a good idea to discuss your specific needs with the service provider to ensure they can meet your requirements.",1,NoGender,67c069badd8951a8ed0318e3,2025-02-27T13:53:18.573Z,2025-02-27T13:53:18.573Z
67c06ed0dd8951a8ed0318f4,Product_pic_11740664528.png,Product_pic_21740664528.png,Product_Video_1740664528.mp4,AC Installation,799,"AC installation services generally involve setting up an air conditioning unit in your home or office to ensure it operates efficiently and effectively. The service provider will start by inspecting the installation site and determining the best location for the indoor and outdoor units. They will then install the mounting brackets, securely fix the units, and connect the refrigerant lines, electrical wiring, and drainage pipes. The system is then vacuumed to remove any moisture and air from the refrigerant lines, followed by charging the system with the appropriate amount of refrigerant. The installation process includes checking for any leaks and testing the system to ensure it cools or heats the space properly. The service provider will also give you a brief overview of how to operate the unit and perform basic maintenance tasks. Finally, they will clean up the work area, removing any debris and packaging materials, leaving your space neat and ready to enjoy your new air conditioning system.",2,NoGender,678a04c5ef9e430a93089782,2025-02-27T13:55:28.990Z,2025-02-27T13:55:28.990Z
67c0711fdd8951a8ed0318f5,Product_pic_11740665119.png,Product_pic_21740665119.png,Product_Video_1740665119.mp4,AC Uninstallation,999,"AC uninstallation services typically involve safely and efficiently removing an air conditioning unit from your home or office. The service provider will start by turning off the power supply to the unit to ensure safety. They will then carefully disconnect the refrigerant lines, electrical wiring, and drainage pipes, ensuring that any refrigerant is properly recovered to prevent environmental harm. Once the connections are safely removed, the indoor and outdoor units will be taken down from their mounts. The service provider will also inspect the area for any potential damage and ensure that it is left in good condition. Finally, they will clean up the work area, removing any debris and packaging materials, leaving your space neat and ready for any future installations or modifications.",1,NoGender,678a04c5ef9e430a93089782,2025-02-27T14:05:19.836Z,2025-02-27T14:05:19.836Z
67c07216dd8951a8ed0318f6,Product_pic_11740665366.jpg,Product_pic_21740665366.webp,Product_Video_1740665366.webm,Exhaust Fan Installation,299,"Exhaust fan installation services involve setting up an exhaust fan in your home or office to improve ventilation and air circulation. The service provider will start by inspecting the installation site and determining the best location for the fan. They will then cut a hole in the wall or ceiling, if necessary, to fit the fan. The fan is then securely mounted and connected to the electrical wiring, ensuring it is properly grounded and safe to use. The service provider will also connect the fan to any necessary ductwork to ensure proper ventilation. Once the installation is complete, they will test the fan to ensure it is working correctly and efficiently. Finally, they will clean up the work area, removing any debris and packaging materials, leaving your space neat and ready to enjoy improved air quality.",1,NoGender,67c069ecdd8951a8ed0318e4,2025-02-27T14:09:26.286Z,2025-02-27T14:09:26.286Z
67c0765cdd8951a8ed0318f7,Product_pic_11740666460.jpg,Product_pic_21740666460.png,Product_Video_1740666460.webm,Exhaust Fan Uninstallation,249,"Exhaust fan uninstallation services involve safely removing an exhaust fan from your home or office. The service provider will begin by turning off the power supply to the fan to ensure safety. Next, they will disconnect the electrical wiring, making sure any connections are properly insulated. After that, they will carefully remove the fan from its mounting and disconnect any ductwork or attachments. The service provider will also inspect the area for any potential damage and ensure it is left in good condition. Finally, they will clean up the work area, removing any debris and packaging materials, leaving your space neat and tidy.",1,NoGender,67c069ecdd8951a8ed0318e4,2025-02-27T14:27:40.470Z,2025-02-27T14:27:40.470Z
67c076f6dd8951a8ed0318f8,Product_pic_11740666614.jpg,Product_pic_21740666614.jpg,Product_Video_1740666614.mp4,Beard Trimming & Styling,99,"Beard trimming and styling services involve shaping and grooming a man's beard to achieve a desired look. The service typically starts with a consultation to understand the client's preferences and the best style for their face shape. The barber or stylist will then use clippers, scissors, and razors to trim and shape the beard, paying attention to the length, contours, and overall symmetry. The service may also include a neck and cheek line shave to give the beard a clean and polished appearance. Some services offer additional options such as conditioning treatments, beard oil applications, and hot towel treatments to soften the beard and skin. The goal is to create a well-groomed and stylish beard that enhances the client's appearance and confidence.",1,male,67c06a51dd8951a8ed0318e5,2025-02-27T14:30:14.248Z,2025-02-27T14:30:14.248Z
67c07723dd8951a8ed0318f9,Product_pic_11740666659.jpg,Product_pic_21740666659.jpg,Product_Video_1740666659.mp4,Clean Shave,89,"A clean shave service involves removing all facial hair to leave the skin smooth and stubble-free. The process usually begins with a consultation to understand the client's preferences and skin type. The barber or stylist will then prepare the skin by cleansing and applying a warm towel to open up the pores and soften the hair. Shaving cream or gel is applied to create a protective layer between the skin and the razor. Using a sharp razor, the barber will carefully shave the facial hair, following the natural contours of the face to avoid irritation and cuts. After the shave, a cool towel or aftershave lotion is applied to soothe the skin and close the pores. The service may also include additional treatments such as a facial massage or moisturizing treatment to ensure the skin feels refreshed and nourished. The goal is to achieve a smooth and comfortable shave that enhances the client's appearance and confidence.",1,male,67c06a51dd8951a8ed0318e5,2025-02-27T14:30:59.787Z,2025-02-27T14:30:59.787Z
